pot,num_seeds,weight_seeds_mg,avg_weight_seed,seed_type,focal_species,background_species,background_density,treatment,notes
152,210,197.2,0.939047619,,VALO,PLCO,0,Drought-stressed,
153,1785,1756.1,0.983809524,,VALO,PLCO,0,Drought-stressed,
154,523,651.4,1.245506692,,VALO,PLCO,0,Drought-stressed,
155,833,866.84,1.04062425,,VALO,PLCO,0,Drought-stressed,
156,697,720,1.032998565,,VALO,PLCO,0,Drought-stressed,
157,1087,1229.98,1.131536339,,VALO,PLCO,0,Drought-stressed,
158,410,394.92,0.963219512,,VALO,PLCO,0,Drought-stressed,
159,996,1001.16,1.005180723,,VALO,PLCO,0,Drought-stressed,
160,333,340.39,1.022192192,,VALO,PLCO,0,Drought-stressed,
145,541,638.52,1.18025878,,VALO,VALO,0,Drought-stressed,
146,525,493.33,0.93967619,,VALO,VALO,0,Drought-stressed,
147,357,378.05,1.058963585,,VALO,VALO,0,Drought-stressed,
148,736,744.62,1.011711957,,VALO,VALO,0,Drought-stressed,
149,525,575.6,1.096380952,,VALO,VALO,0,Drought-stressed,
150,376,455.5,1.21143617,,VALO,VALO,0,Drought-stressed,
151,542,455.5,0.840405904,,VALO,VALO,0,Drought-stressed,
152,210,197.2,0.939047619,,VALO,VALO,0,Drought-stressed,
153,1785,1756.1,0.983809524,,VALO,VALO,0,Drought-stressed,
154,523,651.4,1.245506692,,VALO,VALO,0,Drought-stressed,
155,833,866.84,1.04062425,,VALO,VALO,0,Drought-stressed,
156,697,720,1.032998565,,VALO,VALO,0,Drought-stressed,
157,1087,1229.98,1.131536339,,VALO,VALO,0,Drought-stressed,
158,410,394.92,0.963219512,,VALO,VALO,0,Drought-stressed,
159,996,1001.16,1.005180723,,VALO,VALO,0,Drought-stressed,
160,333,340.39,1.022192192,,VALO,VALO,0,Drought-stressed,
161,216,214,0.990740741,,VALO,PLCO,4,Drought-stressed,
162,324,314.62,0.971049383,,VALO,PLCO,4,Drought-stressed,
163,325,326.49,1.004584615,,VALO,PLCO,4,Drought-stressed,
164,476,471.64,0.990840336,,VALO,PLCO,4,Drought-stressed,
165,236,259.04,1.097627119,,VALO,PLCO,4,Drought-stressed,
166,81,72.32,0.892839506,,VALO,PLCO,4,Drought-stressed,
167,68,69.72,1.025294118,,VALO,PLCO,4,Drought-stressed,
168,225,212.25,0.943333333,,VALO,PLCO,4,Drought-stressed,
169,101,86.38,0.855247525,,VALO,PLCO,4,Drought-stressed,
170,329,396.12,1.204012158,,VALO,PLCO,4,Drought-stressed,
171,300,312.44,1.041466667,,VALO,PLCO,4,Drought-stressed,
172,102,95.08,0.932156863,,VALO,PLCO,4,Drought-stressed,
173,124,125.96,1.015806452,,VALO,PLCO,10,Drought-stressed,
174,189,223.24,1.181164021,,VALO,PLCO,10,Drought-stressed,
175,44,39.83,0.905227273,,VALO,PLCO,10,Drought-stressed,
