Site,Area,Transect,Plot,Subplot,subplot_num,Date,"Pollination Experiment Subplot (1 = Yes, 0 = No)",#Plectritis,#Plectritis (including pollinator focal plants),#Valerianella,#Plectritis 1m^2 (excluding subplots),#Plectritis 1m^2 (including subplots),#Valerianella 1m^2,#Valerianella 1m^2 (including subplots),%shrubcover subplot,%shrubcover 1m^2,%grasscover subplot,%grasscover 1m^2,soil depth 1,soil depth 2,soil depth 1 (1m^2),soil depth 2 (1m^2),soil moisture 1 7.6cm,soil moisture 2 7.6cm,avg_soil_moisture_7.6cm,soil moisture 1 7.6cm (1m^2),soil moisture 2 7.6cm (1m^2),soil moisture 1 12cm,soil moisture 2 12cm,avg_soil_moisture_12cm,soil moisture 1 12cm (1m^2),soil moisture 2 12cm (1m^2),flowering sps subplot (id's),flowering sps subplot (richness),flowering sps 1m^2 (id's),flowering sps 1m^2 (richness),# flowering infloresences in subplot,species richnesss subplot (id's),species richnesss subplot,species richnesss subplot (1m^2) (id's),species richness (1m^2)
Stony Hill,-,1,1,A,115,6/7/2017,0,16,16,0,259,293,0,0,,,0,1,>12,>12,>12,>12,12,11,11.5,7.6,14.9,18.9,17.4,18.15,14.4,20.3,,,,,,,,,
Stony Hill,-,1,1,B,116,6/7/2017,0,18,18,0,259,293,0,0,,,0,1,>12,>12,>12,>12,9,12,10.5,7.6,14.9,17.4,17.4,17.4,14.4,20.3,,,,,,,,,
Stony Hill,-,1,2,A,117,6/7/2017,0,26,26,0,437,485,0,0,,,1,1,<7,<7,<7,<7,-,-,#DIV/0!,-,-,-,-,#DIV/0!,-,-,,,,,,,,,
Stony Hill,-,1,2,B,118,6/7/2017,0,22,22,0,437,485,0,0,,,1,1,<7,>12,<7,<7,-,11,11,-,-,-,20.3,20.3,-,-,,,,,,,,,
Stony Hill,-,1,3,A,119,6/7/2017,0,22,22,0,254,334,0,0,,,0,1,<7,<7,<7,<7,-,-,#DIV/0!,-,-,-,-,#DIV/0!,-,-,,,,,,,,,
Stony Hill,-,1,3,B,120,6/7/2017,0,58,58,0,254,334,0,0,,,0,1,<7,<7,<7,<7,-,-,#DIV/0!,-,-,-,-,#DIV/0!,-,-,,,,,,,,,
Stony Hill,-,2,1,A,121,6/7/2017,0,19,19,0,154,186,0,0,,,1,2,<7,<7,<7,<7,-,-,#DIV/0!,-,-,-,-,#DIV/0!,-,-,,,,,,,,,
Stony Hill,-,2,1,B,122,6/7/2017,0,13,13,0,154,186,0,0,,,1,2,<7,<7,<7,<7,-,-,#DIV/0!,-,-,-,-,#DIV/0!,-,-,,,,,,,,,
Stony Hill,-,2,2,A,123,6/7/2017,0,26,26,0,454,501,0,0,,,1,2,<7,<7,<7,<7,-,-,#DIV/0!,-,-,-,-,#DIV/0!,-,-,,,,,,,,,
Stony Hill,-,2,2,B,124,6/7/2017,0,21,21,0,454,501,0,0,,,0,2,<7,<7,<7,<7,-,-,#DIV/0!,-,-,-,-,#DIV/0!,-,-,,,,,,,,,
Stony Hill,-,2,3,A,125,6/7/2017,0,0,0,0,30,38,0,0,,,0,2,<7,<7,<7,<7,-,-,#DIV/0!,-,-,-,-,#DIV/0!,-,-,,,,,,,,,
Stony Hill,-,2,3,B,126,6/7/2017,0,8,8,0,30,38,0,0,,,1,2,<7,<7,<7,<7,-,-,#DIV/0!,-,-,-,-,#DIV/0!,-,-,,,,,,,,,
Stony Hill,-,3,1,A,127,6/7/2017,0,0,0,7,0,0,9,21,,,0,5,<7,<7,<7,<7,-,-,#DIV/0!,-,-,-,-,#DIV/0!,-,-,,,,,,,,,
Stony Hill,-,3,1,B,128,6/7/2017,0,0,0,5,0,0,9,21,,,1,5,<7,<7,<7,<7,-,-,#DIV/0!,-,-,-,-,#DIV/0!,-,-,,,,,,,,,
Stony Hill,-,3,2,A,129,6/7/2017,0,18,18,6,171,217,9,16,,,1,1,<7,<7,<7,<7,-,-,#DIV/0!,-,-,-,-,#DIV/0!,-,-,,,,,,,,,
Stony Hill,-,3,2,B,130,6/7/2017,0,28,28,1,171,217,9,16,,,1,1,<7,<7,<7,<7,-,-,#DIV/0!,-,-,-,-,#DIV/0!,-,-,,,,,,,,,
Stony Hill,-,3,3,A,131,6/7/2017,0,20,20,0,68,100,7,7,,,10,5,<7,<7,<7,<7,-,-,#DIV/0!,-,-,-,-,#DIV/0!,-,-,,,,,,,,,
Stony Hill,-,3,3,B,132,6/7/2017,0,12,12,0,68,100,7,7,,,1,5,<7,<7,<7,<7,-,-,#DIV/0!,-,-,-,-,#DIV/0!,-,-,,,,,,,,,
Stony Hill,-,4,1,A,133,6/7/2017,0,0,0,10,0,0,19,35,,,1,1,<7,<7,<7,<7,-,-,#DIV/0!,-,-,-,-,#DIV/0!,-,-,,,,,,,,,
Stony Hill,-,4,1,B,134,6/7/2017,0,0,0,6,0,0,19,35,,,1,1,<7,<7,<7,<7,-,-,#DIV/0!,-,-,-,-,#DIV/0!,-,-,,,,,,,,,
Stony Hill,-,4,2,A,135,6/7/2017,0,1,1,10,76,78,3,13,,,10,3,<7,<7,<7,<7,-,-,#DIV/0!,-,-,-,-,#DIV/0!,-,-,,,,,,,,,
Stony Hill,-,4,2,B,136,6/7/2017,0,1,1,0,76,78,3,13,,,2,3,<7,<7,<7,<7,-,-,#DIV/0!,-,-,-,-,#DIV/0!,-,-,,,,,,,,,
Stony Hill,-,4,3,A,137,6/7/2017,0,0,0,0,0,11,0,1,,,25,20,<7,<7,<7,<7,-,-,#DIV/0!,-,-,-,-,#DIV/0!,-,-,,,,,,,,,
Stony Hill,-,4,3,B,138,6/7/2017,0,11,11,1,1,11,0,1,,,25,20,<7,<7,<7,<7,-,-,#DIV/0!,-,-,-,-,#DIV/0!,-,-,,,,,,,,,
